county_name,District Name,Grade_8_proficient
Pottawattamie,Riverside Comm School District,81.8
Sioux,Rock Valley Comm School District,83.3
Story,Roland-Story Comm School District,96.9
Floyd,Rudd-Rockford-Marble Rk Comm School District,57.9
Palo Alto,Ruthven-Ayrshire Comm School District,63.6
Mitchell,St Ansgar Comm School District,97.5
Polk,Saydel Comm School District,61.4
Sac,Schaller-Crestland Comm School District,76.9
Crawford,Schleswig Comm School District,72.7
Woodbury,Sergeant Bluff-Luton Comm School District,87.5
Wayne,Seymour Comm School District,71.4
Cerro Gordo,West Fork Comm School District,80.7
O'Brien,Sheldon Comm School District,83.5
Page,Shenandoah Comm School District,73.5
Osceola,Sibley-Ocheyedan Comm School District,83.7
Fremont,Sidney Comm School District,70
Keokuk,Sigourney Comm School District,84
Sioux,Sioux Center Comm School District,83.3
Buena Vista,Sioux Central Comm School District,80
Woodbury,Sioux City Comm School District,70.3
Calhoun,South Central Calhoun Comm School District,61.4
Johnson,Solon Comm School District,95.7
Warren,Southeast Warren Comm School District,88.9
Hamilton,South Hamilton Comm School District,85.4
Webster,Southeast Valley Community School District,69.3
Page,South Page Comm School District,small N
Tama,South Tama County,74
O'Brien,South O'Brien  Comm School District,100
Winneshiek,South Winneshiek Comm School District,84.8
Polk,Southeast Polk Comm School District,77.2
Clay,Spencer Comm School District,82.4
Dickinson,Spirit Lake Comm School District,83.7
Linn,Springville Comm School District,90.3
Montgomery,Stanton Comm School District,91.3
Fayette,Starmont Comm School District,85.4
Buena Vista,Storm Lake Comm School District,53.6
Hamilton,Stratford Comm School District,
Guthrie,West Central Valley Comm School District,84.1
Bremer,Sumner-Fredericksburg Comm School District,80
Cedar,Tipton Comm School District,72.3
Pottawattamie,Treynor Comm School District,91
Pottawattamie,Tri-Center Comm School District,79.6
Keokuk,Tri-County Comm School District,81.3
Bremer,Tripoli Comm School District,93.8
Winneshiek,Turkey Valley Comm School District,82.6
Marion,Twin Cedars Comm School District,91.3
Humboldt,Twin Rivers Comm School District,
Pottawattamie,Underwood Comm School District,89.2
Black Hawk,Union Comm School District,90.9
Boone,United Comm School District,
Polk,Urbandale Comm School District,80.3
Van Buren,Van Buren County Comm School District,75.8
Dallas,Van Meter Comm School District,90.4
Montgomery,Villisca Comm School District,70.8
Benton,Vinton-Shellsburg Comm School District,86
Henry,WACO Comm School District,64.1
Sac,East Sac County Comm School District,80.4
Louisa,Wapello Comm School District,79.5
Bremer,Wapsie Valley Comm School District,71.7
Washington,Washington Comm School District,65
Black Hawk,Waterloo Comm School District,63
Dallas,Waukee Comm School District,83.1
Bremer,Waverly-Shell Rock Comm School District,87.4
Wayne,Wayne Comm School District,82.9
Hamilton,Webster City Comm School District,82.9
Palo Alto,West Bend-Mallard Comm School District,69
Cedar,West Branch Comm School District,83.6
Des Moines,West Burlington Ind School District,87.1
Fayette,West Central Comm School District,65.5
Delaware,West Delaware County Comm School District,92.6
Polk,West Des Moines Comm School District,78.1
Dubuque,Western Dubuque Comm School District,89.4
Harrison,West Harrison Comm School District,73.3
Muscatine,West Liberty Comm School District,47.5
Lyon,West Lyon Comm School District,76.5
Marshall,West Marshall Comm School District,85.7
Monona,West Monona Comm School District,86.7
Sioux,West Sioux Comm School District,83.9
Woodbury,Westwood Comm School District,82.2
Monona,Whiting Comm School District,small N
Iowa,Williamsburg Comm School District,85.6
Muscatine,Wilton Comm School District,85.1
Henry,Winfield-Mt Union Comm School District,67.9
Madison,Winterset Comm School District,82.3
Harrison,Woodbine Comm School District,73
Woodbury,Woodbury Central Comm School District,82.2
Dallas,Woodward-Granger Comm School District,83.8
Hardin,Choice Charter Schools,
Polk,Horizon Science Academy,
,Accountable to State,32.8
,,
,State,77.5
